leiden,control,100PE,500PE
0,9.92292246907183,18.43535240530606,14.184239733629301
1,21.950903555929788,13.464919290394759,10.749167591564927
2,10.59006412332405,11.51510308454531,20.599334073251942
3,8.73761253967226,16.177880773533644,5.5049944506104325
4,14.366215428460393,11.654946459964838,4.195338512763596
5,8.180581643888853,7.599488572798466,12.95227524972253
6,7.111859576397435,4.950455489851366,12.730299667036626
7,7.876157782239783,6.924244845772734,6.85904550499445
8,3.542975581320033,4.019498162058494,10.127635960044396
9,4.462724269706587,3.815726386447179,1.5260821309655936
10,2.9665133752186024,1.30653667891961,0.316315205327414
11,0.29146965477038667,0.13584785040754355,0.25527192008879024
