names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant
POLR2G,42.38672,1.1834353,0.0,0.0,1.7073364,True
METRN,42.359764,0.9371311,0.0,0.0,1.3519944,True
PDIA6,42.168205,1.0553896,0.0,0.0,1.5226053,True
TPD52L1,42.15997,1.2754726,0.0,0.0,1.8401182,True
COMMD6,42.046246,0.82730305,0.0,0.0,1.1935459,True
ALKBH7,41.980114,0.92777663,0.0,0.0,1.3384988,True
C4orf3,41.958836,1.1239291,0.0,0.0,1.6214868,True
ATRAID,41.92721,1.0215104,0.0,0.0,1.473728,True
RBP1,41.909817,0.9992819,0.0,0.0,1.4416592,True
PRDX5,41.808357,0.8300515,0.0,0.0,1.1975111,True
ANXA5,41.796555,1.2986044,0.0,0.0,1.8734902,True
PARK7,41.628544,0.8647846,0.0,0.0,1.2476205,True
IGFBP5,41.574642,1.0499661,0.0,0.0,1.5147808,True
TXN,41.54528,0.8693304,0.0,0.0,1.2541788,True
SF3B5,41.32985,0.93237555,0.0,0.0,1.3451335,True
C1orf122,41.28019,0.92850685,0.0,0.0,1.3395523,True
ATP5MC2,41.082867,0.8087245,0.0,0.0,1.1667428,True
PRDX2,41.04872,0.8254265,0.0,0.0,1.1908388,True
GNAS,40.961266,0.6267619,0.0,0.0,0.9042262,True
APOE,40.9516,1.0865402,0.0,0.0,1.5675461,True
GPX1,40.9338,0.9054736,0.0,0.0,1.3063222,True
NDUFA13,40.881927,0.7753019,0.0,0.0,1.1185241,True
PTN,40.857254,0.91256136,0.0,0.0,1.3165476,True
RPS16,40.580463,0.79809767,0.0,0.0,1.1514114,True
SKP1,40.558292,0.7621573,0.0,0.0,1.0995606,True
NDUFS5,40.550636,0.76932,0.0,0.0,1.1098943,True
RPL7,40.518696,0.83831567,0.0,0.0,1.2094339,True
KRT8,40.426453,1.0445533,0.0,0.0,1.5069718,True
NPC2,40.363194,0.9158028,0.0,0.0,1.3212242,True
SOD1,40.295868,0.8214732,0.0,0.0,1.1851352,True
CALM2,40.06798,0.7685063,0.0,0.0,1.1087202,True
CALM1,40.019844,0.7207381,0.0,0.0,1.0398053,True
RPS13,40.005047,0.8018642,0.0,0.0,1.1568455,True
RPL26,39.92759,0.7731002,0.0,0.0,1.1153479,True
ECH1,39.85562,1.0721822,0.0,0.0,1.5468318,True
MRPL51,39.833366,0.9826721,0.0,0.0,1.4176961,True
HSP90AA1,39.829548,0.6227417,0.0,0.0,0.8984265,True
RAB13,39.82033,1.017015,0.0,0.0,1.4672425,True
S100A11,39.772396,1.295282,0.0,0.0,1.8686969,True
PRDX4,39.760925,0.8994624,0.0,0.0,1.29765,True
NPM1,39.732765,0.8151489,0.0,0.0,1.1760112,True
C19orf53,39.6568,0.8801613,0.0,0.0,1.2698044,True
RPL4,39.64194,0.67374057,0.0,0.0,0.97200215,True
ANP32B,39.510406,0.8712829,0.0,0.0,1.2569956,True
EEF1B2,39.443638,0.8869201,0.0,0.0,1.2795552,True
HSPA8,39.438953,0.7511521,0.0,0.0,1.0836834,True
NME1-NME2,39.36011,0.8372876,0.0,0.0,1.2079507,True
SUMO2,39.242504,0.7476012,0.0,0.0,1.0785605,True
MANF,39.222992,1.0666486,0.0,0.0,1.5388485,True
C7orf50,39.14994,1.0315897,0.0,0.0,1.4882694,True
KRTCAP2,38.895393,0.80562866,0.0,0.0,1.1622764,True
COX7B,38.884285,0.87735116,0.0,0.0,1.2657503,True
HMGN3,38.734028,0.8219949,0.0,0.0,1.1858879,True
NDUFA1,38.34778,0.84439254,0.0,0.0,1.2182009,True
HMGB2,38.34623,1.5108917,0.0,0.0,2.179756,True
NDUFC2,38.322243,0.81394684,0.0,0.0,1.174277,True
H2AZ1,38.218834,0.8787809,0.0,0.0,1.2678128,True
COX6A1,38.06045,0.7733396,0.0,0.0,1.1156933,True
FABP5,37.96873,1.3146917,0.0,0.0,1.8966992,True
ATOX1,37.925224,0.82555854,0.0,0.0,1.1910292,True
MRPS21,37.913517,0.82005423,0.0,0.0,1.1830882,True
SNHG8,37.88794,0.9096208,0.0,0.0,1.3123053,True
PRDX6,37.824455,0.88056415,0.0,0.0,1.2703856,True
LSM4,37.743053,1.0312406,0.0,0.0,1.4877657,True
NDUFB1,37.73314,0.7849511,0.0,0.0,1.1324451,True
COX6C,37.723194,0.7480247,0.0,0.0,1.0791715,True
NQO1,37.721275,1.949453,0.0,0.0,2.8124661,True
YBX1,37.67542,0.72178024,1.25517558550236e-310,2.000367873329952e-308,1.0413088,True
RPS10,37.596443,0.75405586,2.457475965423673e-309,3.902329885022588e-307,1.0878726,True
MZT2B,37.39267,0.72975975,5.140714814105613e-306,8.104640925206075e-304,1.0528208,True
NENF,37.371174,0.94783133,1.148736540919386e-305,1.8045830531742895e-303,1.3674315,True
SNRPE,37.303223,0.78154415,1.4551221287726584e-304,2.277758076732888e-302,1.1275299,True
PEBP1,37.28801,0.67465013,2.5674012061036773e-304,4.0045996259459694e-302,0.97331446,True
RAN,37.27177,0.88538945,4.705287281091183e-304,7.313313298447943e-302,1.277347,True
ATP5PD,37.181034,0.8937616,1.3822700531244596e-302,2.1408637519976226e-300,1.2894253,True
NDUFC1,37.17888,0.9344478,1.4977578820686424e-302,2.311592217567414e-300,1.3481233,True
GPX4,37.17847,0.777245,1.520516026676925e-302,2.3385111171122805e-300,1.1213275,True
NDUFB4,37.172348,0.81758934,1.9095833929027364e-302,2.926652791645288e-300,1.179532,True
ETFB,37.15179,0.8146241,4.101715620271359e-302,6.264516085876945e-300,1.1752541,True
ENSG00000285589,36.981533,0.75705427,2.2683841779062546e-299,3.417025563335086e-297,1.0921985,True
PRDX1,36.973278,0.7742193,3.078771484639352e-299,4.621940017861657e-297,1.1169623,True
RPL27,36.696873,0.74118584,8.191571897102774e-295,1.2214050219185174e-292,1.0693052,True
LAMTOR4,36.659077,0.8295078,3.280184460100426e-294,4.874398434526261e-292,1.1967268,True
SERPINH1,36.574226,0.938612,7.34927508753901e-293,1.0847825973170836e-290,1.3541309,True
CIRBP,36.50979,0.6404119,7.755184434448528e-292,1.1408680352296085e-289,0.9239191,True
PTGDS,36.45463,1.1680017,5.810273422450908e-291,8.519022891997522e-289,1.6850702,True
ENSG00000284803,36.43765,0.7734206,1.0793829021497005e-290,1.5721104746343286e-288,1.11581,True
ENSG00000285043,36.400726,0.76422113,4.145603003705588e-290,6.018102103003102e-288,1.102538,True
BRK1,36.357944,0.83251745,1.9680556096082868e-289,2.8475951988233584e-287,1.2010688,True
ATP5MK,36.295097,0.7720452,1.9332998460750122e-288,2.7881353124411636e-286,1.1138258,True
ERH,36.28572,0.7817525,2.7174727844728495e-288,3.9062339182295017e-286,1.1278305,True
ATP5MC1,36.23507,1.0367086,1.707854807640453e-287,2.446960963155471e-285,1.4956543,True
SLC25A3,36.201008,0.7551751,5.869994687097631e-287,8.383038516450532e-285,1.0894873,True
YBX3,36.19935,0.95568293,6.233049126093887e-287,8.872715173474618e-285,1.3787589,True
EID1,36.12119,0.71236026,1.0546218932938658e-285,1.4964064064007736e-283,1.0277188,True
FOLR1,36.11079,1.1451063,1.5358101529377344e-285,2.1651969675358715e-283,1.6520392,True
NDUFA3,36.092026,0.85548294,3.0250776612162774e-285,4.251152268570581e-283,1.234201,True
SLC3A2,35.994682,0.85536706,1.0131928100222728e-283,1.4148031410044346e-281,1.2340337,True
RPL22,35.99225,0.7483658,1.105955230230927e-283,1.539447682181568e-281,1.0796636,True
RPL18A,35.984413,0.7295834,1.466567630417717e-283,2.034966681121568e-281,1.0525662,True
DDT,35.95403,1.007193,4.378173747332316e-283,6.055922970130795e-281,1.4530723,True
ATP5PO,35.903286,0.77686715,2.714649495858165e-282,3.743152749994271e-280,1.1207824,True
TMBIM4,35.78402,1.1225259,1.957636924687265e-280,2.674180676065032e-278,1.6194627,True
NDUFAF8,35.696056,0.9814628,4.551089193111311e-279,6.197653537095793e-277,1.4159515,True
RACK1,35.6154,0.65523785,8.092474481201896e-278,1.0986283411424277e-275,0.9453085,True
GTF2H5,35.566048,1.0083542,4.693551315968773e-277,6.352324559513922e-275,1.4547476,True
SRSF5,35.562584,0.83632743,5.309207396055089e-277,7.163521365732488e-275,1.2065654,True
PLTP,35.510784,0.80120087,3.350505032914275e-276,4.5068903479439543e-274,1.1558884,True
GNG11,35.50978,1.1433249,3.4725213832449308e-276,4.656778218396693e-274,1.6494693,True
TIMP1,35.475155,0.93756735,1.1879382354710348e-275,1.5882264810160772e-273,1.3526238,True
SSB,35.362225,0.86978865,6.505219191613849e-274,8.644669829677546e-272,1.2548398,True
NDUFS6,35.34862,0.75930536,1.0526623625712372e-273,1.3946508036162182e-271,1.0954461,True
NDUFA11,35.348145,0.7715155,1.0705710542424204e-273,1.4141182700272404e-271,1.1130615,True
SNHG29,35.298607,0.70874554,6.168596541925789e-273,8.12370920638167e-271,1.0225036,True
SERBP1,35.20594,0.7229922,1.6219343672311926e-271,2.1296240321501864e-269,1.0430572,True
SNRPD2,35.167183,0.703011,6.34974547086486e-271,8.31249715123398e-269,1.0142305,True
LAGE3,35.134335,1.0834982,2.016779192330023e-270,2.6245576791073493e-268,1.5631574,True
OSTC,35.079983,1.0665144,1.3615396831312498e-269,1.766627861422158e-267,1.5386548,True
ARF5,35.050777,0.715511,3.7943919323587434e-269,4.90882716284505e-267,1.0322642,True
DNPH1,35.01541,0.9530499,1.3111754488276174e-268,1.6913009763088437e-266,1.3749604,True
TUBA1B,35.009827,0.76244897,1.5945417815842533e-268,2.0508045264551158e-266,1.0999813,True
POMP,34.875717,0.7934732,1.7356734028764505e-266,2.219340997061731e-264,1.1447399,True
TIMM8B,34.66908,0.91367847,2.30468096558431e-263,2.9298756344564005e-261,1.3181595,True
MEA1,34.60512,0.9649566,2.1158701471194634e-262,2.6743869049194463e-260,1.392138,True
MRPL20,34.50424,0.7974804,6.928989606344814e-261,8.707958194990941e-259,1.1505209,True
NDUFB5,34.48881,1.0389311,1.1803494485419477e-260,1.4749673535104008e-258,1.4988607,True
CIMAP3,34.46832,1.3143493,2.394113017795806e-260,2.974786870078144e-258,1.8962052,True
HDDC2,34.401337,1.0884571,2.4082271895880203e-259,2.975513515764569e-257,1.5703115,True
YWHAE,34.314007,0.5835481,4.851347581042221e-258,5.944049434532677e-256,0.8418819,True
NDUFA12,34.29345,0.8454071,9.826482943951329e-258,1.2006324410351198e-255,1.2196647,True
TAF10,34.181892,1.0548813,4.493279501901829e-256,5.474830808051353e-254,1.521872,True
GUK1,34.162464,0.8878939,8.73281094329401e-256,1.0611089009716308e-253,1.2809602,True
HNRNPC,34.102707,0.59564465,6.724804166069789e-255,8.126297693646861e-253,0.8593335,True
ATP5MJ,33.981678,0.70451504,4.1549340144214386e-253,4.939430474549767e-251,1.0164002,True
UQCRH,33.964054,0.69365907,7.565712067632912e-253,8.969957169997339e-251,1.0007385,True
DYNLT1,33.9439,0.7744886,1.5005187596336213e-252,1.7742424236893674e-250,1.1173509,True
UFC1,33.74024,1.0538323,1.4865564504937037e-249,1.743671254171095e-247,1.5203587,True
TMEM205,33.676598,0.8790795,1.2725849484681156e-248,1.4887213176414504e-246,1.2682436,True
PCBD1,33.650387,1.2725728,3.077614382299996e-248,3.59076780423999e-246,1.8359344,True
TMED10,33.639385,0.83140975,4.457628777104563e-248,5.187123264278342e-246,1.1994708,True
ERP29,33.61885,0.724254,8.897605057029218e-248,1.0326386702862458e-245,1.0448776,True
AP2S1,33.61335,0.8054551,1.070725876291728e-247,1.2361403778101825e-245,1.1620262,True
TMEM256,33.589886,0.80101466,2.3569699317155588e-247,2.7139706653518476e-245,1.15562,True
DPM3,33.551258,0.7812808,8.630838500075306e-247,9.91216872752774e-245,1.12715,True
NDUFB11,33.539234,0.6804052,1.2922861112329047e-246,1.4802733564763162e-244,0.9816171,True
DAD1,33.46117,0.75805306,1.7706302696453466e-245,2.0176928248865342e-243,1.0936394,True
CLIC1,33.452824,0.89175534,2.3414824861626007e-245,2.661303582334578e-243,1.2865311,True
ARPC2,33.421417,0.7091379,6.698959328910322e-245,7.594340851583749e-243,1.0230699,True
TMEM98,33.283436,0.82509804,6.704728919189934e-243,7.542562819424256e-241,1.1903648,True
TPM1,33.26857,0.842524,1.100176990563615e-242,1.2344996200747747e-240,1.2155052,True
RPS25,33.24304,0.689478,2.5735849575726225e-242,2.880450583811434e-240,0.99470645,True
MSRB2,33.212875,1.0036772,7.017487879094332e-242,7.834294970808205e-240,1.4480001,True
POLR2I,33.172867,0.82162225,2.6512184304391054e-241,2.9523163007922653e-239,1.1853503,True
HSPE1,32.98893,0.7487545,1.1707377684227457e-238,1.300405845501083e-236,1.0802244,True
CUTA,32.92276,0.6800243,1.0384190593597917e-237,1.1447594171679147e-235,0.9810676,True
SH3BGRL3,32.863495,0.9323865,7.307707600921474e-237,7.976099913998311e-235,1.3451494,True
COX5A,32.861046,0.7124788,7.920883588275986e-237,8.623960037472959e-235,1.0278896,True
ATP5PB,32.852886,0.87838775,1.0359455684236106e-236,1.1251136240168132e-234,1.2672457,True
RPS29,32.75557,0.6204615,2.529624930789455e-235,2.7405931577759844e-233,0.8951367,True
ITM2B,32.725723,0.6778836,6.72662737251413e-235,7.251897833514866e-233,0.97797936,True
CXCL14,32.555374,0.91835564,1.7574458799889155e-232,1.8808519337516408e-230,1.3249071,True
RTL8C,32.49802,0.8107187,1.1372749487264506e-231,1.2112391257792168e-229,1.16962,True
NDUFB8,32.48264,0.72850883,1.8752960531800487e-231,1.9876330649440392e-229,1.0510162,True
ANAPC11,32.47643,0.7852268,2.2948608555279687e-231,2.4264843651743564e-229,1.1328428,True
PSENEN,32.386974,1.0055655,4.187340673961666e-230,4.395808278875366e-228,1.4507244,True
FBL,32.07285,0.74283,1.0544716263541075e-225,1.1017099514682132e-223,1.0716771,True
PSMB1,32.0345,0.6880123,3.60898832291208e-225,3.761728918758548e-223,0.992592,True
RHOC,31.975054,0.80859077,2.4236512899999373e-224,2.514309567026822e-222,1.1665499,True
FLNA,31.844927,0.7309965,1.5473726480093393e-222,1.5977167440220376e-220,1.054605,True
ARRDC3,31.825434,2.168367,2.8797587867872205e-222,2.9664887586796883e-220,3.1282923,True
BBLN,31.823128,0.90089923,3.0992624861908005e-222,3.185143918635247e-220,1.2997228,True
ATP5F1B,31.811802,0.6286681,4.445458694812278e-222,4.5579940827508825e-220,0.90697646,True
CLTA,31.785027,0.6283617,1.042436748000963e-221,1.066340065059776e-219,0.9065344,True
NDUFB7,31.726822,0.7153808,6.631079502054819e-221,6.751728309661649e-219,1.0320761,True
MRPL57,31.657457,0.88055474,5.987573679194948e-220,6.068419720116797e-218,1.2703719,True
ATP6V1F,31.601032,0.69505143,3.573418870364032e-219,3.6050551016475298e-217,1.0027472,True
AKR7A2,31.447376,0.9181416,4.55896983987818e-217,4.5888065761300137e-215,1.3245983,True
HMGN1,31.428305,0.8231511,8.308717514511935e-217,8.344001109436574e-215,1.1875561,True
DUT,31.162798,0.7445726,3.402884673856655e-213,3.394088101230359e-211,1.0741913,True
CHID1,31.090603,0.9284516,3.226949407614985e-212,3.196860284760197e-210,1.3394724,True
MORF4L1,31.027245,0.5602243,2.313640133331419e-211,2.2817886749936277e-209,0.80823267,True
FSTL1,30.972616,0.7050015,1.2604008663229554e-210,1.2402682887266558e-208,1.017102,True
DBI,30.963224,0.71310735,1.686400152007415e-210,1.655758863531209e-208,1.0287964,True
PPDPF,30.928802,0.77974904,4.898565687065753e-210,4.788184673583872e-208,1.12494,True
SNRPF,30.741734,0.67908216,1.5770595856506794e-207,1.5313144135635935e-205,0.9797084,True
PDIA4,30.73012,0.86546886,2.2543962345747503e-207,2.184182219691739e-205,1.2486076,True
ASS1,30.728424,0.75333536,2.3751532767748194e-207,2.2961207040047736e-205,1.0868332,True
AURKAIP1,30.699429,0.71085453,5.7924968660653444e-207,5.587472963832242e-205,1.0255463,True
ENO1,30.691572,0.6188935,7.373945983325795e-207,7.0973826700780836e-205,0.89287454,True
H3-3A,30.655954,0.79678565,2.2013339229258665e-206,2.1141457190789774e-204,1.1495186,True
COQ4,30.60197,0.94395083,1.1522782812274354e-205,1.104229030023311e-203,1.3618331,True
BTF3,30.58166,0.65689236,2.1462669912328125e-205,2.0478459843029607e-203,0.9476953,True
PSMB5,30.559486,0.6759138,4.230369058981028e-205,4.027640983297392e-203,0.9751376,True
