names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant
MDK,105.816216,2.2995741,0.0,0.0,3.3175843,True
TTR,89.11037,1.612122,0.0,0.0,2.3258004,True
H3-3B,87.96025,1.4941944,0.0,0.0,2.1556668,True
EEF1A1,86.87362,1.0551244,0.0,0.0,1.5222225,True
FTH1,86.47051,1.4805602,0.0,0.0,2.1359968,True
SERF2,80.74242,1.3424747,0.0,0.0,1.9367816,True
RPL12,79.633705,1.3882444,0.0,0.0,2.0028133,True
HSP90B1,79.27807,1.4395027,0.0,0.0,2.0767634,True
MYL6,76.9393,1.1154646,0.0,0.0,1.6092752,True
ATP5F1E,76.47836,1.2281344,0.0,0.0,1.7718233,True
RPS6,76.16469,1.2808608,0.0,0.0,1.8478916,True
RPS2,74.95065,1.2936693,0.0,0.0,1.8663703,True
RPS27A,74.58115,1.2560803,0.0,0.0,1.8121408,True
RPL24,73.56697,1.0874789,0.0,0.0,1.5689003,True
RPS4X,72.98859,1.1436299,0.0,0.0,1.6499091,True
RPL6,72.16592,1.2197601,0.0,0.0,1.7597417,True
RPS8,71.86778,1.1130341,0.0,0.0,1.6057688,True
RPL11,71.6999,1.1259774,0.0,0.0,1.624442,True
BEX3,71.503365,1.101797,0.0,0.0,1.5895569,True
RPL34,71.139305,0.977355,0.0,0.0,1.4100252,True
RPLP1,71.07546,1.1992595,0.0,0.0,1.7301657,True
RPL19,70.3348,1.1329685,0.0,0.0,1.6345279,True
RPL3,69.35718,1.0176466,0.0,0.0,1.4681537,True
RPL41,69.14508,1.3190937,0.0,0.0,1.90305,True
RPS26,68.89358,1.1070411,0.0,0.0,1.5971228,True
GAPDH,68.26044,1.0973048,0.0,0.0,1.5830762,True
RPS19,68.11821,1.0487865,0.0,0.0,1.513079,True
POLR2L,67.90588,1.3262522,0.0,0.0,1.9133775,True
RPL10,67.44086,1.1344004,0.0,0.0,1.6365937,True
CD63,66.29218,1.1337165,0.0,0.0,1.635607,True
TMSB4X,65.96866,1.0896138,0.0,0.0,1.5719804,True
RPL35,65.8286,1.0276477,0.0,0.0,1.4825823,True
DYNLL1,65.65816,1.2816411,0.0,0.0,1.8490173,True
HMGN2,65.29015,1.6636401,0.0,0.0,2.4001255,True
UBB,64.83212,1.0479529,0.0,0.0,1.5118765,True
SRP14,64.69974,1.0582535,0.0,0.0,1.5267371,True
VIM,64.34586,1.2428771,0.0,0.0,1.7930927,True
SPARC,64.03282,1.234689,0.0,0.0,1.7812798,True
ACTB,63.905926,0.805663,0.0,0.0,1.162326,True
RPL35A,63.767937,1.0307654,0.0,0.0,1.4870802,True
RPL17-C18orf32,63.639477,1.1731588,0.0,0.0,1.6925104,True
RPS3A,63.53319,1.0645307,0.0,0.0,1.5357932,True
RPL8,63.52939,1.0213517,0.0,0.0,1.473499,True
HSBP1,63.39125,1.2263769,0.0,0.0,1.7692878,True
RPL36,63.177395,0.973586,0.0,0.0,1.4045877,True
RPS20,62.991207,1.0198957,0.0,0.0,1.4713985,True
GSTP1,62.75204,1.2494214,0.0,0.0,1.8025339,True
RPS24,62.280025,0.99608505,0.0,0.0,1.437047,True
RPL13,62.268433,0.9533874,0.0,0.0,1.3754473,True
RPS7,62.232613,1.1333287,0.0,0.0,1.6350477,True
PPIA,61.678356,1.0544175,0.0,0.0,1.5212028,True
IGFBP7,61.601887,1.6036249,0.0,0.0,2.313542,True
RPL7A,61.450577,1.0104004,0.0,0.0,1.4576997,True
RPL10A,60.8522,1.1483105,0.0,0.0,1.6566619,True
RPL23,60.380295,0.9605738,0.0,0.0,1.385815,True
UQCRQ,60.2289,1.1323559,0.0,0.0,1.6336443,True
OST4,60.041466,1.2128099,0.0,0.0,1.7497149,True
IGFBP2,59.980488,1.1420729,0.0,0.0,1.647663,True
TPT1,59.936428,1.0746503,0.0,0.0,1.5503925,True
RPLP0,59.88913,1.1095444,0.0,0.0,1.6007341,True
EEF1G,59.33919,0.9820553,0.0,0.0,1.4168063,True
RPL18,59.216778,0.99532217,0.0,0.0,1.4359465,True
RPS9,58.963993,1.0031483,0.0,0.0,1.4472371,True
RPL28,58.94749,1.002875,0.0,0.0,1.4468428,True
TPI1,58.83827,1.184205,0.0,0.0,1.7084467,True
HSPA5,58.823513,1.3262289,0.0,0.0,1.9133437,True
PTMA,58.66295,0.85629267,0.0,0.0,1.2353692,True
COX4I1,58.643616,1.052027,0.0,0.0,1.5177541,True
RPS15A,58.60667,1.1215717,0.0,0.0,1.6180857,True
TMA7,57.669636,1.0697378,0.0,0.0,1.5433053,True
HSP90AB1,57.55469,0.8201367,0.0,0.0,1.1832073,True
RPS18,57.247326,1.0718402,0.0,0.0,1.5463384,True
IFITM3,56.964943,1.3709013,0.0,0.0,1.9777925,True
RPS27L,56.678726,1.2396011,0.0,0.0,1.7883663,True
PFN1,56.42095,1.0431935,0.0,0.0,1.50501,True
RPL13A,55.965996,0.86068064,0.0,0.0,1.2416997,True
RPL29,55.96446,1.0688754,0.0,0.0,1.5420612,True
RPS27,55.96121,0.9409004,0.0,0.0,1.3574324,True
RPL32,55.752007,0.9529127,0.0,0.0,1.3747625,True
RPL37,55.747574,0.87662864,0.0,0.0,1.2647077,True
NACA,55.702568,0.9913163,0.0,0.0,1.4301671,True
TPBG,55.347168,1.1076534,0.0,0.0,1.598006,True
CLU,55.30326,1.0267273,0.0,0.0,1.4812543,True
HNRNPA1,55.170345,0.95234275,0.0,0.0,1.3739402,True
RPS11,55.09273,0.86586154,0.0,0.0,1.2491741,True
PPIB,54.812767,0.99295974,0.0,0.0,1.432538,True
RPL9,54.686417,0.944892,0.0,0.0,1.363191,True
PDIA3,54.478596,1.0911347,0.0,0.0,1.5741746,True
TMSB10,54.413425,0.8597848,0.0,0.0,1.2404072,True
LDHB,54.16527,0.9610514,0.0,0.0,1.386504,True
ATP5IF1,54.15957,1.0305701,0.0,0.0,1.4867984,True
RPS3,53.84563,0.92852527,0.0,0.0,1.3395787,True
CST3,53.778103,1.1198294,0.0,0.0,1.6155723,True
BANF1,53.77657,1.0756904,0.0,0.0,1.551893,True
ANXA2,53.621773,1.4301693,0.0,0.0,2.0632982,True
RPL15,53.5433,0.9790707,0.0,0.0,1.4125004,True
ODC1,53.40716,1.4516453,0.0,0.0,2.0942814,True
CHCHD2,53.26974,0.9482996,0.0,0.0,1.3681071,True
EDF1,53.085644,1.0375954,0.0,0.0,1.4969337,True
RPL30,52.86879,0.9494328,0.0,0.0,1.369742,True
HSPB1,52.727077,1.0486989,0.0,0.0,1.5129526,True
RPS28,52.556107,0.8752847,0.0,0.0,1.262769,True
EIF1,52.319435,0.8924899,0.0,0.0,1.2875907,True
ROMO1,52.139786,0.9904229,0.0,0.0,1.4288783,True
PTMS,51.976864,0.82889414,0.0,0.0,1.1958416,True
ACTG1,51.768513,0.5858728,0.0,0.0,0.8452357,True
RPL5,51.633236,0.8371833,0.0,0.0,1.2078001,True
RPS17,51.403526,0.8447435,0.0,0.0,1.2187072,True
CFL1,51.150124,0.84371257,0.0,0.0,1.21722,True
RPS23,51.07971,0.89500433,0.0,0.0,1.2912182,True
ATP5MG,50.9326,0.9439608,0.0,0.0,1.3618475,True
SEC61B,50.869926,1.1040558,0.0,0.0,1.5928158,True
DMAC1,50.81289,1.3316437,0.0,0.0,1.9211558,True
UBL5,50.6433,0.9259776,0.0,0.0,1.3359033,True
H4C3,50.39342,1.3927906,0.0,0.0,2.0093722,True
RPS15,50.313595,0.9023838,0.0,0.0,1.3018647,True
TOMM7,50.15312,0.98145247,0.0,0.0,1.4159367,True
ELOB,50.112278,0.89143443,0.0,0.0,1.2860681,True
GABARAP,50.06282,0.8584588,0.0,0.0,1.2384944,True
RPS12,49.510384,0.89728904,0.0,0.0,1.2945144,True
SEC61G,49.37681,0.93249124,0.0,0.0,1.3453004,True
NDUFA4,49.280083,0.9920281,0.0,0.0,1.4311941,True
PFDN5,49.078495,0.8876951,0.0,0.0,1.2806733,True
ENSG00000263809,48.951283,1.0987886,0.0,0.0,1.5852169,True
FTL,48.74785,0.916607,0.0,0.0,1.3223844,True
PHPT1,48.680916,1.1135194,0.0,0.0,1.6064688,True
COX6B1,48.592896,0.9317238,0.0,0.0,1.3441933,True
CETN2,48.454777,1.2787148,0.0,0.0,1.8447953,True
COL9A1,48.123985,1.4753491,0.0,0.0,2.1284788,True
RPL37A,47.985256,0.7261927,0.0,0.0,1.0476747,True
UBA52,47.811153,0.89503783,0.0,0.0,1.2912666,True
PSMA7,47.348392,0.9040688,0.0,0.0,1.3042957,True
SERPINF1,47.304974,1.1719558,0.0,0.0,1.6907748,True
NDUFB2,47.292168,1.0072083,0.0,0.0,1.4530945,True
SELENOW,47.250454,1.0403628,0.0,0.0,1.5009264,True
RPS10-NUDT3,47.223774,0.9130401,0.0,0.0,1.3172385,True
UQCR10,47.048264,0.943733,0.0,0.0,1.361519,True
MICOS10,46.876972,1.0413762,0.0,0.0,1.5023882,True
HINT1,46.672413,0.85855144,0.0,0.0,1.2386278,True
FAU,46.640366,0.83495444,0.0,0.0,1.2045847,True
COX8A,46.473755,0.9467185,0.0,0.0,1.3658261,True
MAGED2,46.461105,0.9825054,0.0,0.0,1.4174557,True
UQCRB,46.09045,0.9213636,0.0,0.0,1.3292466,True
TCEAL4,46.023766,0.87150824,0.0,0.0,1.2573206,True
COX5B,45.79041,0.8845957,0.0,0.0,1.2762018,True
SSR4,45.712044,0.98249674,0.0,0.0,1.4174432,True
GNG5,45.4068,1.0338916,0.0,0.0,1.4915901,True
ATP5PF,45.200935,0.91740435,0.0,0.0,1.3235347,True
PKM,45.114925,0.72979295,0.0,0.0,1.0528687,True
CALR,44.68403,0.9166616,0.0,0.0,1.3224632,True
COX7C,44.68239,0.8212367,0.0,0.0,1.1847942,True
IFITM2,44.55825,1.2746433,0.0,0.0,1.8389215,True
ENSG00000124593,44.46402,1.0360141,0.0,0.0,1.4946524,True
RPL31,44.449863,0.8198685,0.0,0.0,1.1828202,True
RPL21,44.436684,0.7443153,0.0,0.0,1.0738201,True
COX7A2,44.309544,0.8837442,0.0,0.0,1.2749733,True
TMEM258,44.297295,0.8706669,0.0,0.0,1.2561069,True
SPCS1,44.252106,1.0375326,0.0,0.0,1.4968431,True
RPLP2,44.04787,0.7115926,0.0,0.0,1.0266112,True
NEDD8,44.026062,0.91424704,0.0,0.0,1.3189796,True
ATP5MF,43.97111,0.92474335,0.0,0.0,1.3341227,True
CBLN1,43.900837,1.0632988,0.0,0.0,1.5340158,True
ESD,43.826023,1.1102029,0.0,0.0,1.6016842,True
RPL36A,43.469635,0.7907895,0.0,0.0,1.1408682,True
HMGB1,43.367382,0.7992896,0.0,0.0,1.1531311,True
RPL27A,43.35943,0.72075915,0.0,0.0,1.0398356,True
RPL36AL,43.17822,0.90540606,0.0,0.0,1.3062248,True
FKBP2,43.05508,0.9282178,0.0,0.0,1.3391352,True
KRT10,43.032417,1.022628,0.0,0.0,1.4753402,True
MYL12B,43.001923,0.9947428,0.0,0.0,1.4351107,True
CSTB,42.926353,1.0076491,0.0,0.0,1.4537303,True
COPS9,42.88734,0.89412,0.0,0.0,1.2899425,True
TUBB4B,42.84956,0.97658974,0.0,0.0,1.4089212,True
UQCR11,42.69426,0.8478751,0.0,0.0,1.2232254,True
RPS5,42.693466,0.8516396,0.0,0.0,1.2286564,True
WNT2B,42.51525,0.9988335,0.0,0.0,1.441012,True
