names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant
HSP90B1,79.27807,1.4395027,0.0,0.0,2.0767634,True
HSPA5,58.823513,1.3262289,0.0,0.0,1.9133437,True
PDIA3,54.478596,1.0911347,0.0,0.0,1.5741746,True
SEC61B,50.869926,1.1040558,0.0,0.0,1.5928158,True
SEC61G,49.37681,0.93249124,0.0,0.0,1.3453004,True
CALR,44.68403,0.9166616,0.0,0.0,1.3224632,True
PDIA6,42.168205,1.0553896,0.0,0.0,1.5226053,True
DAD1,33.46117,0.75805306,1.7706302696453466e-245,2.0176928248865342e-243,1.0936394,True
PDIA4,30.73012,0.86546886,2.2543962345747503e-207,2.184182219691739e-205,1.2486076,True
RPN2,29.594334,0.6508628,1.767453444365875e-192,1.567403371045915e-190,0.9389966,True
CANX,29.26751,0.6243213,2.6886026830209993e-188,2.3233964168047483e-186,0.90070516,True
DNAJB11,21.931005,0.83813494,1.314921149975361e-106,5.859992067154633e-105,1.2091731,True
XBP1,16.525873,0.5021321,2.3895570125123997e-61,6.28254959667486e-60,0.7244235,True
DERL2,15.830941,0.6833061,1.9035106386520385e-56,4.672311325432397e-55,0.9858024,True
HYOU1,15.219923,0.80425537,2.608381887050718e-52,5.994372292780192e-51,1.1602952,True
VCP,14.826113,0.31902057,9.93209230135659e-50,2.183273423125792e-48,0.4602494,False
SEC61A1,12.110573,0.25829446,9.284393725457084e-34,1.5136521216010205e-32,0.37264004,False
RPN1,11.695812,0.25054213,1.3390052609258047e-31,2.0907875543870232e-30,0.36145592,False
ATF6,9.864038,0.23584945,5.960296780900941e-23,7.43743586396337e-22,0.34025896,False
DNAJC3,7.813675,0.2337064,5.554418288127457e-15,5.4865628300375995e-14,0.3371671,False
STT3B,5.581959,0.1117527,2.3782507053070496e-08,1.716883891738649e-07,0.16122508,False
EIF2S1,5.1512203,0.16653812,2.587969137465876e-07,1.7629612897719377e-06,0.24026377,False
STT3A,4.7635083,0.088144444,1.9025564642091014e-06,1.2256275429803974e-05,0.12716547,False
DERL3,4.06438,1.4140652,4.81602303903753e-05,0.00027851309992422366,2.0400648,True
DERL1,4.02271,0.13397734,5.753238742771817e-05,0.00033041122775762,0.19328848,False
EDEM2,3.452684,0.16274568,0.0005550391175422898,0.002905039341291666,0.23479244,False
MAN1B1,2.0246546,-0.07035285,0.04290283507766134,0.17152974816516378,-0.101497784,False
UGGT1,1.8362415,-0.04534646,0.06632195434573912,0.25409262989736786,-0.06542114,False
EIF2A,1.0256113,-0.06768487,0.3050748531383942,0.9494815318860405,-0.09764863,False
DDIT3,0.85377795,-0.13382904,0.39322802093595177,1.0,-0.19307451,False
ERN2,0.7914803,0.7318573,0.4286637550059019,1.0,1.0558469,False
MAN1C1,-1.2535646,-0.24610928,0.21000029633206718,0.6989839602317296,-0.35506058,False
EDEM1,-1.4083757,-0.4135782,0.1590198338942218,0.5496775177737714,-0.5966671,False
MOGS,-1.9774429,-0.2711096,0.0479915996139957,0.18971497264502696,-0.39112863,False
ERN1,-2.951793,-0.45855176,0.003159347821247396,0.015060916144509369,-0.66155034,True
SEC61A2,-3.3421412,-0.48616084,0.0008313478341043565,0.004260476037622536,-0.7013819,True
TRAF2,-4.0755997,-0.8132756,4.589592808194568e-05,0.0002657336175612035,-1.1733087,True
EDEM3,-5.0992327,-0.6856965,3.4103345891620555e-07,2.3024862200902865e-06,-0.98925096,True
EIF2AK3,-5.184996,-0.83580863,2.1601932735078355e-07,1.4779633120005544e-06,-1.2058171,True
UGGT2,-10.472412,-0.69424176,1.1565719346238824e-25,1.5567005237566125e-24,-1.001579,True
ATF4,-11.555993,-0.44762883,6.88467328631631e-31,1.0584733980143629e-29,-0.64579177,True
